qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
18.47362518310547,82.81517028808594,76.37858390808105,347.4230766296387,188.60340118408203,204.1773796081543,142.20571517944336
17.362594604492188,83.87994766235352,87.39209175109863,375.9477138519287,197.94058799743652,206.82430267333984,142.61531829833984
17.461776733398438,76.91574096679688,78.21369171142578,344.35248374938965,191.41173362731934,208.5254192352295,146.20113372802734
17.43340492248535,83.21142196655273,84.03205871582031,346.2653160095215,197.42608070373535,213.104248046875,146.30913734436035
17.757177352905273,81.93469047546387,79.66947555541992,349.8709201812744,192.2774314880371,207.64636993408203,142.11225509643555
17.252683639526367,74.03874397277832,74.88870620727539,335.5896472930908,195.49322128295898,209.93518829345703,140.5022144317627
17.04692840576172,81.32505416870117,73.4248161315918,342.2870635986328,270.81847190856934,290.32063484191895,149.11270141601562
18.526792526245117,86.56072616577148,81.6335678100586,360.6894016265869,207.39316940307617,300.27151107788086,212.2025489807129
24.455785751342773,108.51144790649414,81.81905746459961,353.7459373474121,197.4499225616455,211.39240264892578,142.47679710388184
23.30636978149414,82.733154296875,77.49629020690918,345.2727794647217,190.92202186584473,205.47127723693848,141.0236358642578
17.457246780395508,83.87160301208496,82.55982398986816,351.7277240753174,196.03371620178223,214.5843505859375,143.8620090484619
17.796993255615234,80.70921897888184,77.05855369567871,365.431547164917,203.09805870056152,207.64493942260742,142.76909828186035
17.665863037109375,75.91080665588379,78.57060432434082,352.34546661376953,198.98676872253418,213.09518814086914,139.59932327270508
17.792224884033203,79.3299674987793,86.19403839111328,348.5603332519531,204.72359657287598,211.90500259399414,140.26212692260742
16.898632049560547,77.3172378540039,76.3397216796875,341.9477939605713,197.37601280212402,207.0004940032959,140.90442657470703
17.564773559570312,77.8810977935791,83.44078063964844,347.6061820983887,203.81617546081543,218.9321517944336,142.29798316955566
17.847061157226562,78.80473136901855,82.14402198791504,351.9856929779053,203.5238742828369,207.62348175048828,138.69857788085938
18.749237060546875,84.58209037780762,74.02944564819336,348.1159210205078,199.27453994750977,213.11426162719727,142.8220272064209
17.722129821777344,84.1066837310791,80.07311820983887,346.2252616882324,195.79768180847168,205.28101921081543,138.7157440185547
